Fecha,Mexico,US,Internacional
39876,17824.96094,1092.254275,359.5165682
39877,17365.01953,1058.763246,349.1764254
39878,17043.43945,1045.79205,344.90502
39881,16964.35938,1057.748316,345.2319
39882,17543.51953,1100.787328,360.5738127
39883,17790.68945,1096.449937,359.697169
39884,18864.86914,1107.9474,359.826096
39885,19437.00977,1107.109442,360.258
39888,19437.00977,1078.501634,355.8515242
39889,19325.05078,1106.247,362.8059859
39890,19620.48047,1114.048354,366.006628
39891,19596.50977,1125.629171,374.164032
39892,19363.30078,1087.364236,367.27425
39895,20346.42969,1170.771704,396.285285
39896,20242.60938,1157.375671,387.99369
39897,20272.76953,1159.155632,389.6584558
39898,20542.25,1179.364158,396.4797902
39899,20315.16992,1168.491994,386.29964
39902,19530.15039,1123.695115,369.811067
39903,19626.75,1125.629414,375.8232008
39904,19880.36914,1126.59617,379.701556
39905,20562.58984,1155.947679,395.5688011
39906,20933.7793,1140.880427,390.2228
39909,20807.21094,1137.862853,386.4105984
39910,20623.41992,1099.719382,374.5645335
39911,20530.63086,1102.716329,374.5200554
39912,20530.63086,1128.083977,380.979774
39916,21838.96094,1124.44169,383.460416
39917,21918.59961,1115.494984,383.381154
39918,21861.35938,1109.05135,379.22401
39919,22189.19922,1132.1466,385.060728
39920,22234.83984,1141.531746,386.3222169
39923,21587.49023,1122.1335,379.828
39924,21216.93945,1119.31302,379.1136578
39925,21480.00977,1120.019749,378.1093492
39926,21829.33008,1123.759497,385.6876068
39927,22582.16992,1154.311253,396.0036
39930,21827.10938,1203.785768,410.1903
39931,21662.5293,1182.209449,402.865812
39932,22079.33984,1200.257941,410.93624
39933,21898.84961,1207.410044,416.9722178
39934,21898.84961,1206.378126,419.0547937
39937,23014.05078,1201.52444,424.1297064
39938,23430.24023,1202.298636,422.2713747
39939,23906.13086,1208.784647,426.8922731
39940,23589.40039,1195.463205,420.5040988
39941,24085.58008,1208.833019,433.19332
39944,23943.01953,1212.670813,431.8246166
39945,23696.49023,1202.659801,431.9104416
39946,23155.00977,1182.5478,420.18585
39947,23405.92969,1181.699194,420.9407052
39948,23341.7207,1174.697807,417.7850868
39951,23935.49023,1187.531826,429.427557
39952,24344.61914,1180.505199,429.7339091
39953,24399.59961,1179.662111,435.840227
39954,23821.25977,1169.471719,433.2590469
39955,24093.24023,1170.791001,437.304
39959,24640.08008,1201.663249,445.2603373
39960,24507.81055,1188.916569,441.5180267
39961,24659.24023,1201.235014,447.2261736
39962,24331.71094,1212.790697,452.0604562
39965,25105.63086,1254.37568,468.8190935
39966,25183.83008,1250.350614,469.4252772
39967,24651.32031,1249.412772,459.8746243
39968,24748.0293,1246.897952,458.7655768
39969,24913.00977,1255.24584,455.7651066
39972,24932.88086,1264.644182,459.8706189
39973,25107.42969,1287.009346,471.4773028
39974,25183.7207,1282.886587,473.6079878
39975,25372.84961,1267.193444,474.0281874
39976,25460.01953,1275.241511,472.1129734
39979,24899.68945,1242.639717,453.583551
39980,24224.83008,1233.657667,452.3231731
39981,24150.93945,1228.5278,449.811584
39982,24340.65039,1234.788925,444.6686026
39983,24274.7207,1226.617093,449.51971
39986,23314.67969,1187.040083,432.376164
39987,23496.39063,1197.325713,431.7609014
39988,23711.24023,1196.766604,430.395077
39989,24245.71094,1218.52229,440.5365702
39990,24458.23047,1208.338827,438.5228363
39993,24473.5293,1221.53567,443.1526122
39994,24368.38086,1211.80901,437.6745768
39995,24524.00977,1211.757412,442.94175
39996,24051.46094,1190.620124,434.8328667
40000,23742.49023,1188.22466,432.8154358
40001,23359.93945,1178.506953,427.4530334
40002,23468.98047,1190.508,429.9357435
40003,23634.26953,1193.689518,435.8043015
40004,23656.25977,1201.885426,435.4716937
40007,23951.96094,1234.883543,443.5164657
40008,24340.65039,1243.803484,447.9120237
40009,25336.33008,1262.759079,459.148182
40010,25735.56055,1260.998055,462.903158
40011,25741.96094,1258.14154,456.3152266
40014,26284.06055,1264.629641,465.8112613
40015,26004.01953,1271.65442,467.5728267
40016,26288.21094,1263.180595,464.818716
40017,26805.41992,1292.911027,475.673677
40018,26646.36914,1292.430774,475.6662
40021,26815.30078,1304.534043,479.3681747
40022,26850.75,1294.056842,475.2410382
40023,26516.5,1294.106652,472.3190867
40024,26810.26953,1307.594547,482.1150493
40025,27043.5,1299.252664,483.8831869
40028,27692.48047,1314.458306,494.03425
40029,27869.91992,1322.110401,494.5769377
